mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.0522805054982505,0.02047479029687105,0.29070862134297687,0.07952499259565174,16,sqrt,2,2,445,"{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 445}",-0.06785072351513481,-0.04315436496244398,-0.04706546350639602,-0.05269018399465827,0.01083837754983264,15
1.8602973620096843,0.2687712700997553,0.40089917182922363,0.274594171240435,23,sqrt,4,5,466,"{'max_depth': 23, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 466}",-0.07770526577866606,-0.04960946447907737,-0.05364490795599572,-0.06031987940457972,0.01240322392353566,17
1.4575515588124592,0.6307254778844089,0.6140249570210775,0.6579994223785366,9,0.5,5,9,134,"{'max_depth': 9, 'max_features': 0.5, 'min_samples_leaf': 5, 'min_samples_split': 9, 'n_estimators': 134}",-0.004685721745697808,-0.001056452071836222,-0.0015485932615283834,-0.0024302556930208045,0.0016074609531248737,6
0.001325527826944987,0.00048049940318755844,0.0,0.0,16,auto,4,3,459,"{'max_depth': 16, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 459}",,,,,,22
2.017277797063192,0.13548889514369333,0.3467713991800944,0.28892152745907496,6,sqrt,2,5,409,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 409}",-0.11263705746259735,-0.08016210512051396,-0.08563849412162698,-0.09281255223491276,0.014195209632472217,21
2.062076965967814,0.13276873495556082,1.301617701848348,0.126808836479169,20,sqrt,4,3,301,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 301}",-0.0788529241723875,-0.050352127437172205,-0.05314861223961406,-0.060784554616391255,0.012827173386255991,18
3.236365556716919,0.02539440519946102,0.24811283747355142,0.036878322182405394,6,0.5,1,7,395,"{'max_depth': 6, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 395}",-0.004030516002203036,-0.0012823348153251546,-0.0016134140898050916,-0.002308754969111094,0.001224948750711069,4
2.7230008443196616,0.17072847342976732,0.5824647744496664,0.17754031301563955,23,0.8,2,8,152,"{'max_depth': 23, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 152}",-0.0012031285391530474,-6.773517938536985e-05,-0.00011731972037454107,-0.0004627278129709861,0.0005239335728725348,1
2.120095411936442,0.15203256783473965,0.8842438062032064,0.5825154657407271,26,sqrt,1,5,287,"{'max_depth': 26, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 287}",-0.06476475429591846,-0.044640143276681345,-0.04716886259066104,-0.05219125338775362,0.008950541851677294,14
0.003604412078857422,0.0034539715655277823,0.0,0.0,15,auto,5,8,400,"{'max_depth': 15, 'max_features': 'auto', 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 400}",,,,,,22
0.001119375228881836,2.9023157586520923e-05,0.0,0.0,3,auto,1,9,228,"{'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 228}",,,,,,22
2.860632340113322,0.00871445559410936,0.09800370534261067,0.001988419643421719,14,0.2,3,2,491,"{'max_depth': 14, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 491}",-0.02280490063148649,-0.011848617509550397,-0.013539830151231138,-0.01606444943075601,0.004815967320066097,7
1.661983887354533,0.7065251669828992,1.2354917526245117,0.7047334793965566,5,0.2,1,4,360,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 360}",-0.057051985005193054,-0.03212896092025886,-0.03553612326027908,-0.04157235639524367,0.011033777389733332,13
0.8751374880472819,0.48086310694936885,1.4082772731781006,0.10984156428139215,12,sqrt,1,5,234,"{'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 234}",-0.06720925029820965,-0.04604183299655753,-0.05155263630468467,-0.05493457319981729,0.00896634491408715,16
1.8591073354085286,0.635031655472239,0.869941790898641,0.6947699299197011,11,0.5,2,2,147,"{'max_depth': 11, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 147}",-0.002859890332083931,-0.0007136334978311726,-0.0009672599561676832,-0.001513594595360929,0.000957589248453629,3
